I, [2016-07-28T06:34:21.434228 #12611]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.2)
E, [2016-07-28T06:34:21.434607 #12611] ERROR -- Kitchen: ------Exception-------
E, [2016-07-28T06:34:21.434651 #12611] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-07-28T06:34:21.434683 #12611] ERROR -- Kitchen: Message: Kitchen YAML file /home/bilalbarki/chef_is_fun/cookbooks/.kitchen.yml does not exist.
E, [2016-07-28T06:34:21.434709 #12611] ERROR -- Kitchen: ----------------------
E, [2016-07-28T06:34:21.434734 #12611] ERROR -- Kitchen: ------Backtrace-------
E, [2016-07-28T06:34:21.434757 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-07-28T06:34:21.434782 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:154:in `data'
E, [2016-07-28T06:34:21.434823 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-07-28T06:34:21.434848 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-07-28T06:34:21.434873 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-07-28T06:34:21.434897 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-07-28T06:34:21.434922 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-07-28T06:34:21.434946 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-07-28T06:34:21.434970 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-07-28T06:34:21.434994 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-07-28T06:34:21.435019 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-07-28T06:34:21.435043 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-07-28T06:34:21.435068 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-07-28T06:34:21.435092 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-07-28T06:34:21.435116 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-07-28T06:34:21.435140 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-07-28T06:34:21.435164 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-07-28T06:34:21.435188 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-07-28T06:34:21.435212 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-07-28T06:34:21.435254 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-07-28T06:34:21.435279 #12611] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `<top (required)>'
E, [2016-07-28T06:34:21.435303 #12611] ERROR -- Kitchen: /usr/bin/kitchen:17:in `load'
E, [2016-07-28T06:34:21.435327 #12611] ERROR -- Kitchen: /usr/bin/kitchen:17:in `<main>'
E, [2016-07-28T06:34:21.435356 #12611] ERROR -- Kitchen: ----End Backtrace-----
